"FIPS","Population Estimate (2012)","Population Estimate (2011)","Census Population (2010)","Population Estimate (2009)","Population Estimate (2008)","Population Estimate (2007)","Population Estimate (2006)","Population Estimate (2005)","Population Estimate (2004)","Population Estimate (2003)","Population Estimate (2002)","Population Estimate (2001)","Census Population (2000)","Population Estimate (1999)","Population Estimate (1998)","Population Estimate (1997)","Population Estimate (1996)","Population Estimate (1995)"
"01000","4822023","4802740","4779736","4708708","4661900","4627851","4599030","4557808","4530182","4500752","4486508","4464356","4447100","4369862","4351999","4319154","4273084","4252982"
"02000","731449","722718","710231","698473","686293","683478","670053","663661","655435","648818","643786","634892","626932","619500","614010","609311","607007","603617"
"04000","6553255","6482505","6392017","6595778","6500180","6338755","6166318","5939292","5743834","5580811","5456453","5307331","5130632","4778332","4668631","4554966","4428068","4217940"
"05000","2949131","2937979","2915918","2889450","2855390","2834797","2810872","2779154","2752629","2725714","2710079","2692090","2673400","2551373","2538303","2522819","2509793","2483769"
"06000","38041430","37691912","37253956","36961664","36756666","36553215","36457549","36132147","35893799","35484453","35116033","34501130","33871648","33145121","32666550","32268301","31878234","31589153"
"08000","5187582","5116796","5029196","5024748","4939456","4861515","4753377","4665177","4601403","4550688","4506542","4417714","4301261","4056133","3970971","3892644","3822676","3746585"
"09000","3590347","3580709","3574097","3518288","3501252","3502309","3504809","3510297","3503604","3483372","3460503","3425074","3405565","3282031","3274069","3269858","3274238","3274662"
"10000","917092","907135","897934","885122","873092","864764","853476","843524","830364","817491","807385","796165","783600","753538","743603","731581","724842","717197"
"11000","632323","617996","601723","599657","591833","588292","581530","550521","553523","563384","570898","571822","572059","519000","523124","528964","543213","554256"
"12000","19317568","19057542","18801310","18537969","18328340","18251243","18089888","17789864","17397161","17019068","16713149","16396515","15982378","15111244","14915980","14653945","14399985","14165570"
"13000","9919945","9815210","9687653","9829211","9685744","9544750","9363941","9072576","8829383","8684715","8560310","8383915","8186453","7788240","7642207","7486242","7353225","7200882"
"15000","1392313","1374810","1360301","1295178","1288198","1283388","1285498","1275194","1262840","1257608","1244898","1224398","1211537","1185497","1193001","1186602","1183723","1186815"
"16000","1595728","1584985","1567582","1545801","1523816","1499402","1466465","1429096","1393262","1366332","1341131","1321006","1293953","1251700","1228684","1210232","1189251","1163261"
"17000","12875255","12869257","12830632","12910409","12901563","12852548","12831970","12763371","12713634","12653544","12600620","12482301","12419293","12128370","12045326","11895849","11846544","11829940"
"18000","6537334","6516922","6483802","6423113","6376792","6345289","6313520","6271973","6237569","6195643","6159068","6114745","6080485","5942901","5899195","5864108","5840528","5803471"
"19000","3074186","3062309","3046355","3007856","3002555","2988046","2982085","2966334","2954451","2944062","2936760","2923179","2926324","2869413","2862447","2852423","2851792","2841764"
"20000","2885905","2871238","2853118","2818747","2802134","2775997","2764075","2744687","2735502","2723507","2715884","2694641","2688418","2654052","2629067","2594840","2572150","2565328"
"21000","4380415","4369356","4339367","4314113","4269245","4241474","4206074","4173405","4145922","4117827","4092891","4065556","4041769","3960825","3936499","3908124","3883723","3860219"
"22000","4601893","4574836","4533372","4492076","4410796","4293204","4287768","4523628","4515770","4496334","4482646","4465430","4468976","4372035","4368967","4351769","4350579","4342334"
"23000","1329192","1328188","1328361","1318301","1316456","1317207","1321574","1321505","1317253","1305728","1294464","1286670","1274923","1253040","1244250","1242051","1243316","1241382"
"24000","5884563","5828289","5773552","5699478","5633597","5618344","5615727","5600388","5558058","5508909","5458137","5375156","5296486","5171634","5134808","5094289","5071604","5042438"
"25000","6646144","6587536","6547629","6593587","6497967","6449755","6437193","6398743","6416505","6433422","6427801","6379304","6349097","6175169","6147132","6117520","6092352","6073550"
