FIPS,State Name,State Abbrev,Region,Year,Per Capita Income,Population Estimate,Total Number Hospitals,Total Hospital Beds,"MD's, NF, Prim Care Pat Care Excl Hsp Rsdnts","MD's, NF, Prim Care Pat Care Hosp Rsdnts","DO's, NF, Prim Care Pat Care Excl Hsp Rsdnts","DO's, NF, Prim Care Pat Care Hosp Rsdnts",Population per Square Mile
1000,Alabama,AL,South,2012,35926,4822023,121,17732,2839,431,187,22,95.4
2000,Alaska,AK,West,2012,49436,731449,27,1917,546,36,68,7,1.3
4000,Arizona,AZ,West,2012,36243,6553255,102,16010,3644,493,632,25,58.3
5000,Arkansas,AR,South,2012,35437,2949131,103,11168,1762,277,126,8,56.9
6000,California,CA,West,2012,46477,38041430,419,85738,27539,3068,1848,184,246.1
8000,Colorado,CO,West,2012,45775,5187582,97,11919,3614,409,495,25,50.8
9000,Connecticut,CT,Northeast,2012,59687,3590347,45,9650,2877,779,140,25,742.6
10000,Delaware,DE,South,2012,44224,917092,12,2550,538,93,99,11,475.1
11000,Dist. of Columbia,DC,South,2012,74773,632323,15,4432,695,353,25,1,10588.8
12000,Florida,FL,South,2012,41012,19317568,253,59271,12093,1238,1485,75,364.6
13000,Georgia,GA,South,2012,37449,9919945,178,29064,5968,764,344,33,173.7
15000,Hawaii,HI,West,2012,44767,1392313,28,3266,1109,153,59,6,218.6
16000,Idaho,ID,West,2012,34481,1595728,52,3938,834,73,152,14,19.5
17000,Illinois,IL,Midwest,2012,45832,12875255,215,37018,9303,2083,865,73,232
18000,Indiana,IN,Midwest,2012,38119,6537334,165,20527,3971,484,335,45,183.4
19000,Iowa,IA,Midwest,2012,43935,3074186,126,10551,1627,217,609,85,55.3
20000,Kansas,KS,Midwest,2012,43015,2885905,157,12064,1811,219,322,43,35.4
21000,Kentucky,KY,South,2012,35643,4380415,130,16529,2639,290,185,24,111.3
22000,Louisiana,LA,South,2012,40057,4601893,220,19045,2919,666,41,6,107.1
23000,Maine,ME,Northeast,2012,40087,1329192,42,4003,1105,94,317,48,43.1
24000,Maryland,MD,South,2012,53816,5884563,67,15387,5004,824,200,2,610.8
25000,Massachusetts,MA,Northeast,2012,55976,6646144,108,20812,6558,1478,264,30,858
26000,Michigan,MI,Midwest,2012,38291,9883360,172,28216,6361,1460,1568,47,175
27000,Minnesota,MN,Midwest,2012,46925,5379139,147,15980,4612,633,222,25,68.1
28000,Mississippi,MS,South,2012,33657,2984926,117,15527,1419,140,151,17,63.7
29000,Missouri,MO,Midwest,2012,39133,6021988,155,21826,3397,723,788,82,87.9
30000,Montana,MT,West,2012,38555,1005141,65,4421,693,24,77,1,7
31000,Nebraska,NE,Midwest,2012,45012,1855525,98,7760,1248,275,73,28,24.3
32000,Nevada,NV,West,2012,38221,2758931,57,7114,1368,155,185,23,25.4
33000,New Hampshire,NH,Northeast,2012,49129,1320718,32,3314,1087,96,136,8,147.8
34000,New Jersey,NJ,Northeast,2012,54987,8864590,98,25711,6627,1376,961,30,1210.1
35000,New Mexico,NM,West,2012,35682,2085538,54,5320,1420,186,116,10,17.2
36000,New York,NY,Northeast,2012,53241,19570261,228,69814,14994,5394,1177,110,417
37000,North Carolina,NC,South,2012,37910,9752073,143,26616,6396,825,341,43,202.6
38000,North Dakota,ND,Midwest,2012,54871,699628,50,3672,521,80,26,4,10.5
39000,Ohio,OH,Midwest,2012,40057,11544225,219,37574,7364,1725,1278,131,283.2
40000,Oklahoma,OK,South,2012,40620,3814820,155,13600,1799,272,636,13,56.1
41000,Oregon,OR,West,2012,39166,3899353,64,7876,3194,318,334,34,40.9
42000,Pennsylvania,PA,Northeast,2012,45083,12763536,240,45062,8074,2111,2143,111,285.5
44000,Rhode Island,RI,Northeast,2012,45877,1050292,16,3237,884,242,101,8,1017.1
45000,South Carolina,SC,South,2012,35056,4723723,87,14156,2913,423,193,45,158.8
46000,South Dakota,SD,Midwest,2012,45381,833354,65,4877,587,62,53,10,11.1
47000,Tennessee,TN,South,2012,38752,6456243,148,22400,4383,658,270,34,157.5
48000,Texas,TX,South,2012,42638,26059203,602,76500,13753,2153,1501,161,101.2
49000,Utah,UT,West,2012,35430,2855287,54,6122,1447,217,168,8,35.3
50000,Vermont,VT,Northeast,2012,44545,626011,16,1399,654,80,25,2,68
51000,Virginia,VA,South,2012,48377,8185867,122,23328,5783,734,308,41,209.2
53000,Washington,WA,West,2012,46045,6897012,107,14525,5342,531,389,43,104.9
54000,West Virginia,WV,South,2012,35082,1855413,65,8292,1086,250,342,18,77.1
55000,Wisconsin,WI,Midwest,2012,42121,5726398,151,15182,4329,550,386,35,106
56000,Wyoming,WY,West,2012,50567,576412,32,2572,350,30,36,7,6
1000,Alabama,AL,South,2011,34880,4802740,125,18531,2804,434,176,21,94.8
2000,Alaska,AK,West,2011,45665,722718,27,1917,544,30,67,3,1.3
4000,Arizona,AZ,West,2011,35062,6482505,99,15594,3519,483,616,29,57.1
