FIPS,Tot Hospital Admissions (2012),Tot Hospital Admissions (2011),Tot Hospital Admissions (2010),State Name,State,Tot Hospital Admissions (2009),Tot Hospital Admissions (2008),Tot Hospital Admissions (2007),Total Number Hospitals (2012),Total Number Hospitals (2011),Total Number Hospitals (2010),Total Number Hospitals (2009),Total Number Hospitals (2008),Total Hospital Beds (2012),Total Hospital Beds (2011),Total Hospital Beds (2010),Total Hospital Beds (2009),Total Hospital Beds (2008),Total Hospital Beds (2007),Total Number Hospitals (2007),Population Estimate (2013),Population Estimate (2012),Population Estimate (2011),Population Estimate (2009),Population Estimate (2008),Census Population (2010),Population Estimate (2007),Population Male &lt; 15 (2013),Population Male 15-19 (2013),Population Male 20-24 (2013),Population Male 25-44 (2013),Population Male 45-64 (2013),Population Male 65+ (2013),Population Female &lt; 15 (2013),Population Female 25-44 (2013),Population Female 65+ (2013),Persons &lt; 65 with Health Insurance (2013),Persons &lt; 65 without Health Ins (2013)
1000,685254,663392,675345,Alabama,AL,707907,718565,730611,121,125,128,131,129,17732,18531,18197,18546,18222,18724,130,4833722,4822023,4802740,4708708,4661900,4779736,4627851,469840,163751,178447,602352,620025,310932,451176,625771,410234,3372259,636216
2000,62549,60909,64043,Alaska,AK,64645,66224,64028,27,27,27,27,27,1917,1917,1949,1944,1980,1796,26,735132,731449,722718,698473,686293,710231,683478,81467,26096,36122,108535,100777,32571,76411,96747,33518,520851,137170
4000,734957,763215,776248,Arizona,AZ,770775,775375,736660,102,99,101,98,99,16010,15594,15807,15715,15374,14482,93,6626624,6553255,6482505,6595778,6500180,6392017,6338755,687044,232106,250911,873501,783433,468124,660521,838102,550738,4380044,1093575
5000,393384,401366,407254,Arkansas,AR,420682,411976,404051,103,103,105,107,107,11168,11146,11235,11271,11391,11194,105,2959373,2949131,2937979,2889450,2855390,2915918,2834797,302282,100073,107189,374098,369128,200821,289042,374600,253599,1975350,458560
6000,3516126,3598446,3644267,California,CA,3674055,3683938,3473104,419,419,422,419,428,85738,85122,86519,84802,86232,85732,429,38332521,38041430,37691912,36961664,36756666,37253956,36553215,3883364,1365634,1516006,5462603,4724940,2111649,3714727,5278093,2680082,26596092,6382717
8000,463494,451133,469026,Colorado,CO,466386,467705,449774,97,95,95,95,96,11919,11760,11803,11941,11920,11488,93,5268367,5187582,5116796,5024748,4939456,5029196,4861515,532070,175756,195885,771412,678690,292633,506800,723065,354758,3795568,722071
9000,394085,414307,421519,Connecticut,CT,422145,415318,412441,45,46,46,47,48,9650,9328,9834,9636,9677,9625,47,3596080,3590347,3580709,3518288,3501252,3574097,3502309,326534,129674,123082,439624,501345,233892,312739,447567,311779,2637803,323606
10000,118004,107887,113268,Delaware,DE,111421,113926,115566,12,12,12,12,12,2550,2656,2668,2668,2658,2858,11,925749,917092,907135,885122,873092,897934,864764,86492,30197,32989,113489,119561,65219,83752,117259,82265,673251,82412
11000,142535,144312,142739,Dist. of Columbia,DC,157603,158729,157866,15,15,15,16,16,4432,4450,4272,4684,4701,5164,16,646449,632323,617996,599657,591833,601723,588292,48634,17750,27109,112993,70076,29688,47450,122775,43734,499440,40951
12000,2577464,2600748,2532706,Florida,FL,2551900,2500728,2486859,253,253,249,246,251,59271,57857,58802,58488,58950,58215,247,19552860,19317568,19057542,18537969,18328340,18801310,18251243,1698005,603097,670977,2433566,2521620,1635382,1626364,2424110,2012235,11762634,3775449
